what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593093146463
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593093146794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593093146832
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1593093153369
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1593093154478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593093158283
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593093166614
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1593093177333
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1593093177440
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1593093179943
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1593093188677
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1593093193579
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1593093193661
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1593093195760
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1593093197521
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593093199464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593093220624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593093254065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593093256202
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1593093256253
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1593093259438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593093260942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593093261162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593093261241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593093271222
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1593093271346
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1593093271432
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1593093274904
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1593093276255
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593093277671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593093308608
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1593093310765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593093378241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593093379371
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1593093379408
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593093390363
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593093393412
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1593093393542
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1593093395163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593093396981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593093428281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593093437562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593093441084
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1593093441166
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1593093447946
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1593093450640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1593093452619
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593093457546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593093501469
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1593093503159
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593093504864
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593093508205
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1593093514089
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1593093521899
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1593093528443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1593093540797
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1593093556515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593093574420
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593093577376
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1593093577429
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1593093598888
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1593093599352
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1593093603500
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1593093603841
started,bundle,org.eclipse.wb.os,1.3.0.r37x201202052311,"org.eclipse.wb.os",1593093603885
started,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1593093604117
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1593093606966
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1593093607876
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1593093608289
